Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19
money spent,usually,perfect,commits,league,quebecers,liberal candidate,tony,reasoning,expenditure,merely,usage,researched,bloody,ultimate,canadian history,equal,gay,guide,effect
apparently,peaceful,doe work,richer,factor,research,pollution,slow,overdue,serf,monopoly,household,controversial,transfer,finger,rolling,muzzled,wood,really know,behalf
regulating,logical,defending,tripe,advocating,time canada,method,walmart,fbi,people,righteous,best thing,gon,gaza,mainly,destructive,hero,guide,harder,med
asset,main point,thousand year,alert,tom,second class,approval,helped,poor,badly,recommendation,granted,glove,income tax,lasting,course harper,resistance,spin,rich,sexually
facility,general election,effective,people money,issued,cautious,recognizing,pushing,suggest,discussion,annual,bitter,holding,extent,stream,inevitably,slavery,scholarship,manifesto,clear
validity,phd,emergency,ward,educate,subway,moscow,legislation,rape,gore,division,hiring,harper doe,validity,beach,obey,root,proof,delivering,sociology
understood,passed,sat,canada harper,argue,girl,canada vote,ship,like hear,unfortunately,type,criterion,greece,heat,certificate,measuring,negotiate,allan,described,wearing
scientific consensus,honestly,make sort,know going,poverty,lawyer,citizenship,argument,medicare,shameless,ran,banning,decided,okay,warmest,weird,correctly,let say,import,elected politician
gop,relatively,transport,backwards,slowing,high level,savvy,gon,negative,provides,outcome,terror,fool,korea,world population,observation,levy,decision based,violent,access
zimmerman,numerous,christy,joe,patient,climate change,logically,continuing,armed,splitting,ocean,gmo,point time,stance,broadcaster,bring,trying,wikipedia,mistake,conduct
intent,improved,profit,outcome,try,bomb,wood,shore,effort,sunday,want hear,according,social mobility,primarily,1990,slide,likely,complaining,reminds,science
brian,co2,willful,praise,considered,public service,statistic,power plant,crude,insurance,sole,emotional,appointee,practice,farce,cheaper,radio,eat,ocean,let remember
wave,intent,pension,money save,pension fund,fee,dissent,buddy,joke,low,night,wall street,invade,way,armed,afford,sociology,tone,god,implies
hair,participant,pushing,getting information,legal,liberal candidate,bright,stopping,freedom religion,generous,reveals,tax base,tax base,deadly,apply,score,suit,account,beer,wind
social mobility,instead,particular,prince,accurately,commenting,universal,teaching,marketplace,accurately,murder,attacking,paper,liquor,legislate,way thing,entirely,refer,net,richard
nasty,platform,flawed,reasoning,loved,health care,1990s,thinker,post,hijab,sibling,factor,chance,causal,fly,feature,rose,margaret wente,era,gibson
lesson,investing,classic,atlantic,sticking,honestly,mail editorial,tap,fear,wood,caucus,notable,looking,breast,apartheid,silly,shifted,atheist,suddenly,people use
leftie,approval,good reason,election,collectively,mislead,fossil,following,man,brain,knowing,taxi,convenience,statue,ignore,estate,projection,nazi,congratulation,boy
govt,fix,content,tale,magazine,movement,key,egg,airline,rank,block,manning,climate science,wide,donation,hat,firing,understood,litre,graduate
prominent,committing,live,submission,climate change,spill,old,advancement,cloud,skeptical,good news,member state,ratio,aside,doe agree,downtown,string,develop,ally,growing
