Topic_0,Topic_1,Topic_2,Topic_3,Topic_4
one,would,harper,would,would
like,canada,canada,harper,people
people,government,would,year,one
woman,get,canadian,one,like
would,year,right,people,get
fact,people,government,liberal,think
good,like,party,government,want
doe,one,people,get,make
well,need,one,vote,doe
canadian,ontario,doe,many,see
want,canadian,country,canada,canada
many,right,tax,much,know
canada,time,get,tax,time
year,even,way,make,never
said,job,time,time,thing
time,system,think,country,good
make,much,conservative,way,work
right,tax,say,doe,even
get,want,work,like,need
law,know,make,election,way
