article_id,title,article_topic_category
26842506,The Tories deserve another mandate - Stephen Harper doesn't,politics
26055892,Harper hysteria a sign of closed liberal minds,politics
6929035,Too many first nations people live in a dream palace,politics
19047636,The Globe's editorial board endorses Tim Hudak's Progressive Conservatives,politics
11672346,Disgruntled Arab states look to strip Canada of UN agency,politics
26691065,"Fifty years in Canada, and now I feel like a second-class citizen",religion
25731634,I'm Canadian - and I should have a right to vote,politics
13647608,"A nation of $100,000 firefighters",healthcare
19767742,Our duty is to stand firm in the face of Russian aggression,crime_law
32655412,Dear America: Please don't vote for Donald Trump,politics
29629853,"Sorry, pundits of Canada. The Leap will bring us together",environment
13464869,Wente: What has Trudeau been smoking?,politics
30089817,What was Justin Trudeau thinking? He wasn't,politics
27910240,How to right the Conservative ship,politics
22970289,A niqab ban makes no sense. Religious freedom is citizenship,religion
26916174,Trudeau promised to stop bombing IS. He needs to explain why.,politics
29220490,Justin Trudeau: A leader with no parade,politics
20993905,Justin Trudeau's lousy week,politics
24459593,Why firefighters are underworked and overpaid,economy
24211771,"For Alberta, Jim Prentice is the best choice",politics
26287563,Why Stephen Harper is toast,politics
17614448,"Why the Fair Elections Act is, in fact, fair",politics
27600848,No surprise here: Canada a turnoff for some refugees,immigration
29287461,"If Trump wins, I'll eat this column",politics
11508194,Trudeau's terror gaffe a winner for Conservatives,politics
14315072,"Barack Obama, the 98-pound weakling",technology
9255841,Tom Flanagan's banishment was a betrayal of basic values,education
21200020,"He's sweet, but is Trudeau a PM?",politics
27264347,"After Paris attacks, Trudeau's soft power already under fire",politics
30608142,"The Brexit vote is complete folly, but there is still time to reverse it",politics
27606120,Allies will remember Canada's withdrawal from the IS fight,religion
27072545,Trudeau and Obama: 'The smiling faces of vindictiveness',politics
26845638,"Despite the rap sheet, Harper isn't the worst PM",politics
22310028,Dalhousie's dental hysteria,education
20908158,Your turn to vote: Should Canada enter combat in Iraq?,politics
31992733,"How do you spend $126,669 to move house? Only the Liberals know",politics
32803341,"Thank you, Hillary. Now women know retreat is not an option",politics
28748918,The Trudeau government thinks it has a monopoly on 'Canadian' values. It doesn't,politics
32753320,"A fascist's win, America's moral loss",politics
26337462,Canada must reclaim its role as a world leader,politics
13919677,So Trudeau smoked pot. At least he's honest,politics
28078752,"How U.S. gun ownership became a 'right,' and why it isn't",crime_law
21821297,The progressive war on science,politics
26957781,"It wasn't just Harper: Why the Conservatives lost, and how they can win again",politics
7725145,Whatever happened to global warming?,environment
20736274,The It Girl of climate change doesn't get it,environment
28616994,How the Conservative Party can avoid the political wilderness,politics
26573582,"Why the niqab matters, now and in future",politics
14730628,Freed Canadians are radical grandstanders,healthcare
17357856,The rest of Canada will have choices to make,politics
17967924,Intolerance is now a vice of the left,education
30101422,Justin has a temper tantrum,politics
27480867,"Trudeau is discriminating against single, straight male refugees. Why is he afraid?",immigration
27200206,Trudeau's diverse cabinet not a true Canadian portrait,politics
22729037,Parliament must reject Harper's secret policeman bill,terrorism_security
31520824,"When it comes to the money that politicians spend, we worry about the wrong stuff",politics
22970176,"Trudeau shows bad judgment, naked opportunism",politics
27730073,Being clean and green comes with a cost,environment
27751521,The Paris summit: A colossal waste of time,environment
27008590,Why Canada's shift to conservatism isn't dead,politics
11451046,Government's sudden need to debate terror bill smacks of opportunism,politics
20647540,Will we roll the dice on pretty boy Trudeau?,politics
11951156,"A strange $90,000 gift to the undeserving Senator Duffy",politics
28117977,Germany's brutal immigrant awakening,immigration
