bertopic_topic_label,mean_toxicity,median_toxicity,std_toxicity,count,min_toxicity,max_toxicity,high_toxicity_rate_pct,pct_toxicity_1.0,pct_toxicity_2.0,pct_toxicity_3.0,pct_toxicity_4.0
Insults / Ad Hominem Flame Replies,2.067,2.0,0.884,15,1.0,4.0,73.333,26.667,46.667,20.0,6.667
Race & Racism Discourse (White/Black),1.897,2.0,0.724,29,1.0,4.0,72.414,27.586,58.621,10.345,3.448
Religion (Islam/Christianity) & Church Issues,1.586,2.0,0.623,99,1.0,4.0,52.525,47.475,47.475,4.04,1.01
US Politics (Trump/Clinton/Obama),1.567,1.0,0.745,60,1.0,4.0,43.333,56.667,31.667,10.0,1.667
Fascism/Nazism/Confederate Symbols,1.562,1.5,0.619,32,1.0,3.0,50.0,50.0,43.75,6.25,0.0
Israel–Palestine / Middle East Politics,1.519,1.0,0.606,54,1.0,4.0,48.148,51.852,46.296,0.0,1.852
Toronto Politics (Rob Ford / Mayor Drama),1.515,1.0,0.755,33,1.0,4.0,39.394,60.606,30.303,6.061,3.03
"Gender, Feminism & Relationships",1.446,1.0,0.537,56,1.0,3.0,42.857,57.143,41.071,1.786,0.0
"Bullying, Civility & Editorial Disputes",1.438,1.0,0.629,16,1.0,3.0,37.5,62.5,31.25,6.25,0.0
"Racism, Law & Policy Framing",1.4,1.0,0.503,20,1.0,2.0,40.0,60.0,40.0,0.0,0.0
Personal Encouragement / Health / Small Talk,1.391,1.0,0.583,23,1.0,3.0,34.783,65.217,30.435,4.348,0.0
Russia–Ukraine / NATO / Geopolitics,1.347,1.0,0.561,49,1.0,3.0,30.0,69.388,26.531,4.082,0.0
Harper vs Trudeau Election Talk,1.34,1.0,0.607,100,1.0,3.0,27.0,73.0,20.0,7.0,0.0
Political Ideology Spectrum & Media Bias,1.333,1.0,0.577,21,1.0,3.0,28.571,71.429,23.81,4.762,0.0
"Vaccines, Vaccination & Disease Risk",1.333,1.0,0.488,15,1.0,2.0,33.333,66.667,33.333,0.0,0.0
"Canadian Culture, Language & Immigration Identity",1.321,1.0,0.476,28,1.0,2.0,32.143,67.857,32.143,0.0,0.0
Media & Journalism (Globe and Mail Commentary),1.305,1.0,0.654,95,1.0,4.0,21.053,78.947,12.632,7.368,1.053
"Animals, Food, Meat Ethics & Environment",1.3,1.0,0.561,60,1.0,4.0,26.667,73.333,25.0,0.0,1.667
Debate About Terms / Argumentation Style,1.3,1.0,0.574,70,1.0,3.0,24.286,75.714,18.571,5.714,0.0
Outlier/Unassigned,1.267,1.0,0.543,2596,1.0,4.0,22.248,77.735,18.451,3.236,0.578
"Citizenship, Dual Citizenship & Niqab Ceremony",1.261,1.0,0.449,23,1.0,2.0,26.087,73.913,26.087,0.0,0.0
"War, Terrorism & Security (Syria/ISIS)",1.245,1.0,0.434,49,1.0,2.0,24.49,75.51,24.49,0.0,0.0
