bertopic_topic_label,1.0,2.0,3.0,4.0,All
"Animals, Food, Meat Ethics & Environment",44,15,0,1,60
"Bullying, Civility & Editorial Disputes",10,5,1,0,16
Canada Identity / Provinces / General National Talk,64,4,0,4,72
"Canadian Culture, Language & Immigration Identity",19,9,0,0,28
Canadian Party Politics & Electoral Reform,24,2,0,0,26
"Cities, Transit & Urban Development",55,6,1,0,62
"Citizenship, Dual Citizenship & Niqab Ceremony",17,6,0,0,23
Climate Change & CO2 Debate,72,9,0,0,81
Columnist/Political Culture Commentary (Coyne etc.),17,1,0,0,18
"Consumer Prices, Markets & Groceries",16,0,1,0,17
Debate About Terms / Argumentation Style,53,13,4,0,70
"Education: Teachers, Schools & Kids",75,12,1,1,89
Energy Tech (Solar/Wind/Nuclear/Power),28,3,2,0,33
Evidence vs Truth Debate (Kingwell Thread),24,1,0,0,25
Fascism/Nazism/Confederate Symbols,16,14,2,0,32
"Gender, Feminism & Relationships",32,23,1,0,56
General Banter / Agreement Replies,151,9,2,0,162
Harper vs Trudeau Election Talk,73,20,7,0,100
Harper-era Conservatism & Government,20,1,0,1,22
"Healthcare System: Doctors, Hospitals & Patients",54,11,1,0,66
Immigration Policy & Legal Process,15,2,0,0,17
Insults / Ad Hominem Flame Replies,4,7,3,1,15
Israel–Palestine / Middle East Politics,28,25,0,1,54
Justin Trudeau & Canadian Federal Leadership,26,3,0,0,29
Marijuana/Drugs/Alcohol Legalization Debate,21,5,0,0,26
Media & Journalism (Globe and Mail Commentary),75,12,7,1,95
"Oil, Pipelines & Alberta Energy Industry",58,4,1,0,63
Outlier/Unassigned,2018,479,84,15,2596
"Parenting, Class & Family Life",31,2,2,0,35
Partisan Competence / Messaging (Liberal vs Conservative),14,2,0,0,16
Personal Encouragement / Health / Small Talk,15,7,1,0,23
"Police, Guns & Crime",97,16,3,1,117
Political Ideology Spectrum & Media Bias,15,5,1,0,21
Political Scandal & Corruption (Senate/PMO),58,12,2,0,72
Praise/Feedback on Posts and Columns,37,1,1,1,40
Quoted Conversation / Anecdotes (Name-Heavy Thread),18,1,0,0,19
Race & Racism Discourse (White/Black),8,17,3,1,29
"Racism, Law & Policy Framing",12,8,0,0,20
Refugees & Immigration System,22,3,1,0,26
Religion (Islam/Christianity) & Church Issues,47,47,4,1,99
Russia–Ukraine / NATO / Geopolitics,34,13,2,0,49
"Taxes, Pensions & Public Finances",197,24,3,1,225
Toronto Politics (Rob Ford / Mayor Drama),20,10,2,1,33
US Politics (Trump/Clinton/Obama),34,19,6,1,60
"Vaccines, Vaccination & Disease Risk",10,5,0,0,15
"Voting, Elections, Polls & Referendums",77,9,0,0,86
"War, Terrorism & Security (Syria/ISIS)",37,12,0,0,49
All,3892,914,149,32,4987
