Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29,Topic_30,Topic_31,Topic_32,Topic_33,Topic_34,Topic_35,Topic_36,Topic_37,Topic_38,Topic_39,Topic_40,Topic_41,Topic_42,Topic_43,Topic_44,Topic_45
tax,good,police,harper,religion,globe,teacher,vote,climate,scandal,canada,term,care,oil,city,animal,trump,woman,israel,russia,isi,comment,child,energy,ford,fascism,trudeau,racist,canada,ndp,refugee,marijuana,evidence,good luck,citizenship,harper,conservative,law,said,blonde,immigration,market,liberal,bully,loser,vaccine
pension,think,gun,election,catholic,article,school,election,warming,senate,alberta,argument,doctor,pipeline,transit,food,clinton,men,israeli,ukraine,war,post,parent,solar,rob,hitler,justin trudeau,white,culture,party,australia,alcohol,truth,luck,dual,canadian,spectrum,csa,said said,coyne,immigrant,walmart,pay attention,bullying,people like,vaccination
income,hear,officer,stephen harper,religious,newspaper,math,voting,global,pmo,canadian,point,health,oil sand,subway,wild,hillary,feminist,jew,putin,syria,excellent post,kid,water,rob ford,fascist,justin,black,sweden,liberal,canada,drug,fact,little bit,citizen,conservative,wing,people,anthony,sister,immigration policy,product,attention,editorial,away,disease
sector,jack,law,stephen,muslim,journalism,student,candidate,co2,minister,clock,balanced,hospital,energy,car,meat,obama,gender,arab,russian,turkey,excellent,middle,wind,doug,nazi,chretien,racism,nation,green,custom,legal,professor kingwell,sleep,niqab,northern,bias,racist,bravo said,glad,immigration lawyer,store,conservative,dissent,stubborn,vaccinated
revenue,true,crime,trudeau,church,news,kid,voter,climate change,public,toronto,response,patient,sand,toronto,dog,poll,marriage,zionist,nato,bomb,column,class,nuclear,guy,confederate flag,garneau,white people,canadian,conservative,immigration,category,kingwell,got,canadian,canada harper,intensity,understand,saying nice,showed,comparing,grocery,competent,witness,making fool,population
ontario,sure,constitution,vote,islam,journalist,education,referendum,temperature,corruption,like,difference,work,alberta,downtown,fruit,president,men woman,hamas,blah,bombing,great,let kid,fuel,mayor,confederate,cabinet,america,french,federal,portugal,illegal,professor,stopping,citizenship ceremony,government canadian,right,racism,said little,margaret,lawyer,price,mess,behavior,mcgee,polio
money,agree,cop,vote harper,school,writing,parent,party,change,senate scandal,hockey,merit,healthcare,gas,vancouver,human,hillary clinton,male,land,kiev,afghanistan,written,upper middle,green,parking lot,swastika,chretien martin,sellout,immigrant,tent,immigrant,use,announce,stop,canada,harper government,political spectrum,challenge,mickey,young,policy,agricultural product,republican,cross,sore,strain
pay,thanks,firearm,medium,terrorist,mail,child,poll,trend,party,ontario,dismissive,health care,rail,bus,fish,msm,woman woman,jewish,blah blah,military,title,luxury,heat,pride,italy,minister justin,race,british,big tent,skilled,harmful,reasonable,bunch,born,canada,stayed home,cdn,flanagans,campaign trail,legal,wheat,tory,advertising,ignorance fact,risk
year,point,criminal,fraud,islamic,paper,grade,pollster,heat,justice,turn,mean,year,lng,development,kill,ibbitson,transgender,war,crimea,iraq,thoughtful,upper,power,sue,germany,symbolic,lady,destroying,tory,country,brainwashed,true,sick,exception,government,breed,bigot,question think,antoinette,elizabeth renzetti,agricultural,pay,opponent,live age,percentage
debt,brilliant,court,lying,christian,reading,teaching,majority,ipcc,government,love,think,time,crude,condo,eat,white,divorce,palestine,european,korea,negative,people,nuclear energy,parking,shocking,early,leftist,music,proportional representation,coming,legalization,believe,break,ceremony,tea party,left right,allows,real comment,paid attention,like china,sale,slogan,group,adjective,shot
government,lol,guilty,harper gone,belief,globe mail,year,turnout,global warming,power,canada want,make,pay,production,saving,article,donald,train,jordan,country,attack,thank,girl,waste,hand,pope,mulroney,success,english,proportional,refugee crisis,abuse,author,hear,american,calgary,dislike,consequence,think saying,marie antoinette,illegal immigrant,world market,liberal scandal,bad,nailed,rate
public sector,funny,judge,think harper,gay,publish,curriculum,voted,year,debt,turn clock,topic,people,price,fee,plant food,instead,relationship,illegal,eastern,weapon,reading,parenting,source,fan,deemed,smiling,think,language,representation,canadian medium,product,guilty,bit,canadian citizenship,majority government,left,intention,answer question,know want,dismisses,customer,policy sad,negative,laying,infectious
public,thank,murder,majority,extremist,writer,learning,senate,model,harris,ottawa,understand,family,train,built,wild animal,analyze,wife,state,ukrainian,chemical,correct,child child,green energy,doug ford,comparing,martin,wrote,social,progressive,refugee canada,medical,claim,whinning,allegiance,tea,statement,ban,bravo,state obvious,worst thing,pricing,sure doe,point,think nailed,immune
job,right,case,support,stop,editor,classroom,ballot,science,expense,let,outlier,money,company,building,reuters,article,equal,gaza,west,fighter,interesting,baby,cost,hip,courage,picking,build,ancestor,leader,texas,pot,knowledge,time rest,passport,suggestion,stayed,muslim,grew,case missed,rotherham,closing,attention liberal,line,regrettably,year
income tax,laugh,black,political,khan,editorial,professor,electing,emission,dollar,winnipeg,time,month,explosion,road,soup,reader,characteristic,peace,state,extremist,doe comment,life,fossil fuel,wash hand,state,play,people,quebec,election,coming canada,let,knowledge evidence,micheal,immigrant,rcmp,political,religion,courage,took minute,suggest visit,shopping,attention conservative,american president,bad guy,virus
billion,said,charter,right,kill,story,teach,polling,carbon,liberal,game,argument make,medical,bitumen,service,deer,donald trump,educated,occupation,soviet,kurd,say comment,care,oil,wash,flag,lady,simple,indian,conservative party,asylum,plant,forgery,mid,identity,majority,rural,rule,mother,sort thinking,warn,selling,agree jeff,fan flame,disgust,obvious
average,hope,violent,know harper,terrorist attack,day,high school,riding,ocean,charity,east,logically,medicare,keystone,need,lunch,pointing,sex,attacked,western,north,tee,middle class,fossil,gravy,era,friendly,hate,people,red,intake,taxation,really quite,pleases,country,supported,nasty,country,knew,whouse,like comparing,really,benign,genuinely,1954,health
dollar,exactly,section,trying,state,commentary,high,campaign,rising,senator,provincial,nice,private,canada,ford,seed,doe,narrative,middle east,american,nato,post comment,choice,demand,like,sake,photo,book,history,element,screening,health,basis,make stop,law,started,left wing,religious,professor,want admit,speak english,term,liberal said,bully bad,owen,effect
work,mind,trust,endorse,hate,reporter,need,electorate,plant,blair,pain,idea,service,oilsands,lane,shirt,writer,type,country,ussr,sunni,piece written,offspring,material,metaphor,joe,depth,dead people,immigration,reformer,canadian,report,analytic,sooo,terrorist,stephen,pure,proclamation,apparently,michele,value,different,past liberal,fact group,preston,public health
