topic_1,topic_2,mean_topic_1,mean_topic_2,mean_difference,u_statistic,p_value,p_value_adjusted,significant,cohens_d,effect_size
"Taxes, Pensions & Public Finances",Race & Racism Discourse (White/Black),1.1466666666666667,1.896551724137931,-0.7498850574712643,1292.0,1.195807755498543e-14,1.292668183693925e-11,True,-1.607340987121519,Large
"Taxes, Pensions & Public Finances",Religion (Islam/Christianity) & Church Issues,1.1466666666666667,1.5858585858585859,-0.43919191919191913,6708.0,2.873619464973309e-14,3.106382641636147e-11,True,-0.8913204738735647,Large
"Voting, Elections, Polls & Referendums",Race & Racism Discourse (White/Black),1.1046511627906976,1.896551724137931,-0.7919005613472334,456.5,2.8518812634960357e-11,3.082883645839215e-08,True,-1.764981763564327,Large
Race & Racism Discourse (White/Black),Climate Change & CO2 Debate,1.896551724137931,1.1111111111111112,0.7854406130268199,1912.5,1.1364566558900224e-10,1.2285096450171143e-07,True,1.7136072211205695,Large
"Taxes, Pensions & Public Finances",Insults / Ad Hominem Flame Replies,1.1466666666666667,2.066666666666667,-0.9200000000000002,626.0,1.999250461193166e-10,2.1611897485498123e-07,True,-1.9856110789864507,Large
Race & Racism Discourse (White/Black),"Oil, Pipelines & Alberta Energy Industry",1.896551724137931,1.0952380952380953,0.8013136288998357,1502.5,3.2438951832992626e-10,3.506650693146503e-07,True,1.616399221281618,Large
"Voting, Elections, Polls & Referendums",Religion (Islam/Christianity) & Church Issues,1.1046511627906976,1.5858585858585859,-0.4812074230678882,2444.0,1.1271720242718767e-09,1.2184729582378987e-06,True,-0.9589797644381395,Large
Religion (Islam/Christianity) & Church Issues,Climate Change & CO2 Debate,1.5858585858585859,1.1111111111111112,0.4747474747474747,5692.5,4.5569721426039524e-09,4.926086886154873e-06,True,0.9336807482358673,Large
Race & Racism Discourse (White/Black),"Police, Guns & Crime",1.896551724137931,1.2136752136752136,0.6828765104627175,2633.0,4.989828385146834e-09,5.394004484343728e-06,True,1.203674267081128,Large
"Taxes, Pensions & Public Finances",Israel–Palestine / Middle East Politics,1.1466666666666667,1.5185185185185186,-0.3718518518518519,3942.5,5.218938010288151e-09,5.641671989121491e-06,True,-0.8013746898947133,Large
Race & Racism Discourse (White/Black),"Cities, Transit & Urban Development",1.896551724137931,1.1290322580645162,0.7675194660734148,1452.5,5.4435013827484e-09,5.884424994751021e-06,True,1.488678521204115,Large
"Voting, Elections, Polls & Referendums",Insults / Ad Hominem Flame Replies,1.1046511627906976,2.066666666666667,-0.9620155038759692,221.5,5.568875452863782e-09,6.019954364545748e-06,True,-2.196445060673086,Large
Race & Racism Discourse (White/Black),"Education: Teachers, Schools & Kids",1.896551724137931,1.1910112359550562,0.7055404881828748,2028.0,7.868800576979636e-09,8.506173423714987e-06,True,1.258771983311815,Large
Race & Racism Discourse (White/Black),Canada Identity / Provinces / General National Talk,1.896551724137931,1.2222222222222223,0.6743295019157087,1652.0,8.856333555553081e-09,9.573696573552882e-06,True,0.9382843036844614,Large
Religion (Islam/Christianity) & Church Issues,"Oil, Pipelines & Alberta Energy Industry",1.5858585858585859,1.0952380952380953,0.4906204906204905,4496.0,1.4393745371056353e-08,1.5559638746111916e-05,True,0.920544081618324,Large
"Oil, Pipelines & Alberta Energy Industry",Insults / Ad Hominem Flame Replies,1.0952380952380953,2.066666666666667,-0.9714285714285715,158.5,1.6067213689465062e-08,1.736865799831173e-05,True,-1.9763269986147203,Large
Climate Change & CO2 Debate,Insults / Ad Hominem Flame Replies,1.1111111111111112,2.066666666666667,-0.9555555555555557,211.5,1.6208633006949798e-08,1.752153228051273e-05,True,-2.1291503395703266,Large
"Taxes, Pensions & Public Finances",US Politics (Trump/Clinton/Obama),1.1466666666666667,1.5666666666666667,-0.41999999999999993,4620.5,3.594310444578267e-08,3.885449590589107e-05,True,-0.8275583078435752,Large
Religion (Islam/Christianity) & Church Issues,"Police, Guns & Crime",1.5858585858585859,1.2136752136752136,0.3721833721833723,7789.0,1.1847332348908709e-07,0.00012806966269170316,True,0.6522513887917015,Medium
"Taxes, Pensions & Public Finances",Fascism/Nazism/Confederate Symbols,1.1466666666666667,1.5625,-0.4158333333333333,2253.0,1.6550229710547287e-07,0.00017890798317101618,True,-0.9205377655010781,Large
Race & Racism Discourse (White/Black),Praise/Feedback on Posts and Columns,1.896551724137931,1.15,0.7465517241379311,940.5,1.8582690453574366e-07,0.0002008788838031389,True,1.1591929340729312,Large
Religion (Islam/Christianity) & Church Issues,"Cities, Transit & Urban Development",1.5858585858585859,1.1290322580645162,0.4568263277940696,4326.5,2.192802121884896e-07,0.00023704190937575724,True,0.8403427669137874,Large
Canada Identity / Provinces / General National Talk,Religion (Islam/Christianity) & Church Issues,1.2222222222222223,1.5858585858585859,-0.36363636363636354,2180.0,2.296595586455988e-07,0.0002482619828958923,True,-0.5478171100380232,Medium
"Cities, Transit & Urban Development",Insults / Ad Hominem Flame Replies,1.1290322580645162,2.066666666666667,-0.9376344086021506,167.5,2.3022094190698486e-07,0.00024886883820145065,True,-1.8202284452683841,Large
"Healthcare System: Doctors, Hospitals & Patients",Race & Racism Discourse (White/Black),1.196969696969697,1.896551724137931,-0.699582027168234,424.0,2.514188046954586e-07,0.0002717837278757907,True,-1.2952775310598632,Large
Religion (Islam/Christianity) & Church Issues,"Education: Teachers, Schools & Kids",1.5858585858585859,1.1910112359550562,0.39484734990352965,6008.0,2.5306933827383083e-07,0.00027356795467401113,True,0.6965192646372752,Medium
"Taxes, Pensions & Public Finances","Gender, Feminism & Relationships",1.1466666666666667,1.4464285714285714,-0.2997619047619047,4418.5,2.9005333920644614e-07,0.0003135476596821683,True,-0.6690942498469241,Medium
Canada Identity / Provinces / General National Talk,Insults / Ad Hominem Flame Replies,1.2222222222222223,2.066666666666667,-0.8444444444444446,216.0,4.670791399295548e-07,0.0005049125502638487,True,-1.1310796855001026,Large
Political Scandal & Corruption (Senate/PMO),Race & Racism Discourse (White/Black),1.2222222222222223,1.896551724137931,-0.6743295019157087,483.0,4.688957524014283e-07,0.000506876308345944,True,-1.2024626691743803,Large
"Voting, Elections, Polls & Referendums",Israel–Palestine / Middle East Politics,1.1046511627906976,1.5185185185185186,-0.41386735572782096,1442.5,5.406541551097192e-07,0.0005844471416736065,True,-0.926449466870102,Large
Race & Racism Discourse (White/Black),Evidence vs Truth Debate (Kingwell Thread),1.896551724137931,1.04,0.856551724137931,612.5,6.312008225500917e-07,0.0006823280891766491,True,1.5613593887476485,Large
"Education: Teachers, Schools & Kids",Insults / Ad Hominem Flame Replies,1.1910112359550562,2.066666666666667,-0.8756554307116107,267.0,6.860872183900211e-07,0.0007416602830796128,True,-1.5468617395687974,Large
"Police, Guns & Crime",Insults / Ad Hominem Flame Replies,1.2136752136752136,2.066666666666667,-0.8529914529914533,366.0,7.217508619988789e-07,0.0007802126818207882,True,-1.4902362645161773,Large
Israel–Palestine / Middle East Politics,Climate Change & CO2 Debate,1.5185185185185186,1.1111111111111112,0.40740740740740744,3001.5,1.5057850876833384e-06,0.0016277536797856887,True,0.8962613550142412,Large
Israel–Palestine / Middle East Politics,"Oil, Pipelines & Alberta Energy Industry",1.5185185185185186,1.0952380952380953,0.42328042328042326,2375.0,1.5598411263124965e-06,0.0016861882575438087,True,0.8750237224108458,Large
Race & Racism Discourse (White/Black),Canadian Party Politics & Electoral Reform,1.896551724137931,1.0769230769230769,0.8196286472148542,625.0,1.752194035279059e-06,0.0018941217521366628,True,1.4673791373717904,Large
Race & Racism Discourse (White/Black),Justin Trudeau & Canadian Federal Leadership,1.896551724137931,1.103448275862069,0.7931034482758621,687.5,1.922674658319279e-06,0.0020784113056431406,True,1.4236642593573976,Large
Race & Racism Discourse (White/Black),Media & Journalism (Globe and Mail Commentary),1.896551724137931,1.305263157894737,0.5912885662431941,2043.0,2.17270955855113e-06,0.0023486990327937717,True,0.881946943062052,Large
Praise/Feedback on Posts and Columns,Insults / Ad Hominem Flame Replies,1.15,2.066666666666667,-0.916666666666667,108.5,2.248718116027282e-06,0.002430864283425492,True,-1.3612640300812915,Large
"Voting, Elections, Polls & Referendums",Fascism/Nazism/Confederate Symbols,1.1046511627906976,1.5625,-0.45784883720930236,823.0,2.41330836533001e-06,0.0026087863429217406,True,-1.1044937348651724,Large
"Voting, Elections, Polls & Referendums",US Politics (Trump/Clinton/Obama),1.1046511627906976,1.5666666666666667,-0.462015503875969,1700.5,2.6073728656382757e-06,0.002818570067754976,True,-0.8680667111410191,Large
Race & Racism Discourse (White/Black),"Parenting, Class & Family Life",1.896551724137931,1.1714285714285715,0.7251231527093596,805.0,3.5926706415253104e-06,0.0038836769634888607,True,1.1737897168935636,Large
"Oil, Pipelines & Alberta Energy Industry",Fascism/Nazism/Confederate Symbols,1.0952380952380953,1.5625,-0.46726190476190466,587.0,4.451607798239761e-06,0.004812188029897181,True,-1.0256118163394345,Large
Religion (Islam/Christianity) & Church Issues,Praise/Feedback on Posts and Columns,1.5858585858585859,1.15,0.43585858585858595,2825.5,4.742362890164656e-06,0.005126494284267993,True,0.7135256803278002,Medium
Evidence vs Truth Debate (Kingwell Thread),Insults / Ad Hominem Flame Replies,1.04,2.066666666666667,-1.0266666666666668,55.5,5.107108234787448e-06,0.005520784001805231,True,-1.8351411116997307,Large
Climate Change & CO2 Debate,Fascism/Nazism/Confederate Symbols,1.1111111111111112,1.5625,-0.45138888888888884,783.0,5.839335837925314e-06,0.006312322040797264,True,-1.0667405034280149,Large
